gesture,[0],[7],[8],[11],[13],[15],[23],[23]
0.0,"0.5124329328536987,0.33594897389411926,-0.35973185300827026","0.5363606214523315,0.3496021628379822,-0.08660368621349335","0.45080965757369995,0.33756500482559204,-0.11960159242153168","0.6444282531738281,0.6810795068740845,-0.06328316032886505","0.8454828262329102,0.5642743706703186,-0.4197544455528259","0.5589536428451538,0.4500153362751007,-0.49532175064086914","0.6201296448707581,1.4582388401031494,0.0475667305290699","0.6201296448707581,1.4582388401031494,0.0475667305290699"
0.0,"0.5165458917617798,0.34783312678337097,-0.36878177523612976","0.5363813638687134,0.3499618172645569,-0.08847339451313019","0.4510621130466461,0.33821749687194824,-0.13280873000621796","0.6452113389968872,0.6814958453178406,-0.06657107919454575","0.8439375758171082,0.5530880093574524,-0.4360209107398987","0.5575352907180786,0.4499405324459076,-0.5359418988227844","0.6198797225952148,1.4636921882629395,0.047030143439769745","0.6198797225952148,1.4636921882629395,0.047030143439769745"
0.0,"0.5135763883590698,0.3480626344680786,-0.3713150918483734","0.536298394203186,0.34971415996551514,-0.08988860994577408","0.4505251348018646,0.33830857276916504,-0.11509798467159271","0.6452347040176392,0.6812649965286255,-0.07633798569440842","0.8421902656555176,0.554022490978241,-0.5363379716873169","0.5565425753593445,0.4500269591808319,-0.7322501540184021","0.6200754642486572,1.4636950492858887,0.03654953092336655","0.6200754642486572,1.4636950492858887,0.03654953092336655"
0.0,"0.5000567436218262,0.34454455971717834,-0.4262872338294983","0.5360313653945923,0.3490584194660187,-0.13690504431724548","0.44823551177978516,0.3383709490299225,-0.11775342375040054","0.6457222700119019,0.6811261177062988,-0.12293583154678345","0.8434300422668457,0.5565052032470703,-0.6197103261947632","0.5559214949607849,0.4501146078109741,-0.8666442036628723","0.620112419128418,1.4643216133117676,0.026296893134713173","0.620112419128418,1.4643216133117676,0.026296893134713173"
0.0,"0.4957176744937897,0.3291178345680237,-0.41253942251205444","0.5358589887619019,0.3472710847854614,-0.13651925325393677","0.4472574293613434,0.3383522033691406,-0.10774153470993042","0.6458668112754822,0.6811977028846741,-0.11621290445327759","0.845511257648468,0.5679659843444824,-0.6030915379524231","0.5583657026290894,0.4502810537815094,-0.8751055002212524","0.6199913620948792,1.465036392211914,0.022652218118309975","0.6199913620948792,1.465036392211914,0.022652218118309975"
0.0,"0.48619312047958374,0.3296559154987335,-0.4280998706817627","0.5355339646339417,0.347446471452713,-0.14110718667507172","0.4459356665611267,0.3386125862598419,-0.11197513341903687","0.6455957889556885,0.6811580657958984,-0.13164332509040833","0.8452159762382507,0.6015788912773132,-0.6243754029273987","0.5592226982116699,0.449142724275589,-0.9083566665649414","0.6202576756477356,1.4650020599365234,0.01653972640633583","0.6202576756477356,1.4650020599365234,0.01653972640633583"
0.0,"0.48635333776474,0.33035558462142944,-0.4236530661582947","0.5367599725723267,0.34836792945861816,-0.13739939033985138","0.44327297806739807,0.33781811594963074,-0.12715545296669006","0.6417768001556396,0.6774043440818787,-0.12773701548576355","0.8324084281921387,0.7481000423431396,-0.5789123177528381","0.553627073764801,0.4490291178226471,-0.8591103553771973","0.6163398027420044,1.4650075435638428,0.01785098947584629","0.6163398027420044,1.4650075435638428,0.01785098947584629"
0.0,"0.4918404519557953,0.33114945888519287,-0.3386397063732147","0.540223240852356,0.34845978021621704,-0.06022794172167778","0.44323962926864624,0.33783382177352905,-0.08562062680721283","0.6413536071777344,0.6768456101417542,-0.09632329642772675","0.7804976105690002,0.8671907782554626,-0.567353367805481","0.5436599254608154,0.4469693601131439,-0.898216724395752","0.6157523393630981,1.4653115272521973,0.018595900386571884","0.6157523393630981,1.4653115272521973,0.018595900386571884"
0.0,"0.48813238739967346,0.3253622353076935,-0.3418736159801483","0.5406301617622375,0.34458956122398376,-0.07056715339422226","0.44217100739479065,0.33444246649742126,-0.07596362382173538","0.6411699652671814,0.674184262752533,-0.11388646066188812","0.734225332736969,0.9427486658096313,-0.6219202876091003","0.537237286567688,0.45925143361091614,-1.0103117227554321","0.6156972646713257,1.465377688407898,0.01642109453678131","0.6156972646713257,1.465377688407898,0.01642109453678131"
0.0,"0.4772673547267914,0.32546061277389526,-0.387561172246933","0.5398250222206116,0.33938470482826233,-0.128259539604187","0.44003573060035706,0.33344683051109314,-0.08506134152412415","0.6444039940834045,0.6718596816062927,-0.14170469343662262","0.702826738357544,0.9696611762046814,-0.6631363034248352","0.5295573472976685,0.4704879820346832,-1.085500955581665","0.615742564201355,1.4657059907913208,0.011285478249192238","0.615742564201355,1.4657059907913208,0.011285478249192238"
