az,el,[0],[7],[8],[12],[14],[16],[23],[24]
-0.5,0.0,"0.4516971707344055,0.41045308113098145,-0.3010109066963196","0.4972960948944092,0.3775538504123688,-0.06789194047451019","0.4057437479496002,0.38702845573425293,-0.15502187609672546","0.37812724709510803,0.5488272905349731,-0.23300385475158691","0.5308248400688171,0.568945050239563,-0.5383397936820984","0.7227669954299927,0.42996951937675476,-0.7495640516281128","0.5149962306022644,1.1478158235549927,0.06863801926374435","0.38857007026672363,1.0660195350646973,-0.06903339177370071"
-0.5,0.0,"0.4515232443809509,0.4104485809803009,-0.37359097599983215","0.4972960352897644,0.3772486448287964,-0.1604888141155243","0.4062751233577728,0.3866746127605438,-0.21478882431983948","0.37832170724868774,0.5483486652374268,-0.27615678310394287","0.5222758054733276,0.5684683918952942,-0.5813747048377991","0.7216648459434509,0.42385295033454895,-0.79841148853302","0.5167068839073181,1.1433590650558472,0.06005020812153816","0.39137881994247437,1.0443155765533447,-0.06044735759496689"
-0.5,0.0,"0.45150691270828247,0.4101000428199768,-0.3715513348579407","0.4972964823246002,0.3772345781326294,-0.14244820177555084","0.4064902365207672,0.38584375381469727,-0.2053879201412201","0.37830954790115356,0.5475932359695435,-0.27341896295547485","0.5228747129440308,0.5656359195709229,-0.582822322845459","0.7222186923027039,0.42327529191970825,-0.7990352511405945","0.5144582390785217,1.142764687538147,0.05997471883893013","0.3922324776649475,1.0407294034957886,-0.060365885496139526"
-0.5,0.0,"0.45153599977493286,0.4100511372089386,-0.3847882151603699","0.49731388688087463,0.3775274455547333,-0.1385539025068283","0.4067421853542328,0.38552477955818176,-0.2061893194913864","0.3779037296772003,0.5487887263298035,-0.27254587411880493","0.5222722291946411,0.5680809617042542,-0.5800482034683228","0.7228189706802368,0.42523401975631714,-0.7864290475845337","0.5135946869850159,1.1574527025222778,0.059318143874406815","0.39307746291160583,1.0501205921173096,-0.05972002074122429"
-0.5,0.0,"0.45154085755348206,0.40860670804977417,-0.35161691904067993","0.49723678827285767,0.3770718574523926,-0.10764522850513458","0.4067457616329193,0.38550618290901184,-0.16705836355686188","0.3780638575553894,0.5533407926559448,-0.23520171642303467","0.5223418474197388,0.574028730392456,-0.5357481241226196","0.7252457141876221,0.4633345603942871,-0.7609015703201294","0.5136805176734924,1.1731140613555908,0.05617385357618332","0.3910076320171356,1.1383254528045654,-0.05664188787341118"
-0.5,0.0,"0.45374631881713867,0.40830013155937195,-0.16903141140937805","0.4972761571407318,0.37703272700309753,0.12036804854869843","0.40782737731933594,0.3849789500236511,0.020961780101060867","0.3779433071613312,0.5532548427581787,-0.07186948508024216","0.5256655812263489,0.5904990434646606,-0.3834047317504883","0.7252779006958008,0.4993765950202942,-0.638709545135498","0.513841450214386,1.1514166593551636,0.05918993428349495","0.39179104566574097,1.078792691230774,-0.05960094928741455"
-0.5,0.0,"0.45410117506980896,0.4082161486148834,-0.1882288008928299","0.49730244278907776,0.37743911147117615,0.04961754381656647","0.4080663323402405,0.38397330045700073,-0.04318983852863312","0.37788277864456177,0.5531332492828369,-0.1409941464662552","0.51701819896698,0.5913683772087097,-0.4984220862388611","0.7255253791809082,0.5401700139045715,-0.7940108776092529","0.5137094259262085,1.1431748867034912,0.0578613355755806","0.3918170928955078,1.0594401359558105,-0.058322250843048096"
-0.5,0.0,"0.4543066620826721,0.4077584147453308,-0.4610072076320648","0.4975271224975586,0.3772610127925873,-0.2122739851474762","0.4084342420101166,0.3839373290538788,-0.27679532766342163","0.3779109716415405,0.5531039834022522,-0.30922043323516846","0.5155636668205261,0.6005014777183533,-0.660315990447998","0.7245314121246338,0.5770252346992493,-0.9443649053573608","0.5134407877922058,1.1414884328842163,0.05798836424946785","0.39278244972229004,1.0527180433273315,-0.05845038220286369"
-0.5,0.0,"0.45475783944129944,0.40647003054618835,-0.42866936326026917","0.49767065048217773,0.37727105617523193,-0.18544155359268188","0.40887489914894104,0.3830411732196808,-0.2502599060535431","0.3766500651836395,0.5530946254730225,-0.29594606161117554","0.5157760381698608,0.6059934496879578,-0.6445106267929077","0.7240856289863586,0.5949066877365112,-0.9126571416854858","0.5138691663742065,1.1417807340621948,0.05809934064745903","0.3944978415966034,1.05441153049469,-0.05855846405029297"
-0.5,0.0,"0.4550458788871765,0.4063655734062195,-0.4234221577644348","0.4978579580783844,0.3772622048854828,-0.17261996865272522","0.4091801047325134,0.3828129172325134,-0.23502540588378906","0.37646186351776123,0.5531254410743713,-0.27879804372787476","0.5177469253540039,0.6107940077781677,-0.6208710670471191","0.7242878675460815,0.5916016697883606,-0.8935725092887878","0.5151175260543823,1.1404869556427002,0.057549893856048584","0.39598071575164795,1.0520477294921875,-0.05800667405128479"
-0.5,0.0,"0.4551738202571869,0.40601035952568054,-0.40700763463974","0.49819421768188477,0.37721988558769226,-0.1536702960729599","0.4096347689628601,0.38262638449668884,-0.2291092872619629","0.37589627504348755,0.5533714294433594,-0.25601109862327576","0.5106967687606812,0.6123983860015869,-0.611699104309082","0.7202939987182617,0.5823895335197449,-0.9220223426818848","0.5236839652061462,1.1407618522644043,0.05284712836146355","0.39812496304512024,1.0511318445205688,-0.05328119918704033"
-0.5,0.0,"0.4552139639854431,0.4060024619102478,-0.4626564085483551","0.49824684858322144,0.377238005399704,-0.18828541040420532","0.40971508622169495,0.3826034963130951,-0.24868185818195343","0.3762410879135132,0.5533764958381653,-0.2682170271873474","0.509143054485321,0.6112969517707825,-0.6112247705459595","0.7203496694564819,0.5637981295585632,-0.9136425256729126","0.5214385390281677,1.175789713859558,0.044433675706386566","0.39807718992233276,1.0632840394973755,-0.0448257140815258"
-0.5,0.0,"0.45465564727783203,0.40606698393821716,-0.44451984763145447","0.49788299202919006,0.3771883249282837,-0.18323808908462524","0.4096791744232178,0.3825885057449341,-0.240464448928833","0.37703821063041687,0.5533312559127808,-0.26780787110328674","0.5097777247428894,0.6103454232215881,-0.5940991640090942","0.7182873487472534,0.5185323357582092,-0.8627575039863586","0.5168465971946716,1.139157772064209,0.04214852303266525","0.39809608459472656,1.0269711017608643,-0.042582809925079346"
-0.5,0.0,"0.4548594057559967,0.4067437946796417,-0.29816314578056335","0.497600257396698,0.37711045145988464,-0.0469021275639534","0.4093394875526428,0.38316285610198975,-0.1284242421388626","0.3772331476211548,0.5530434250831604,-0.2039448320865631","0.5141929984092712,0.60794997215271,-0.5144982933998108","0.7173250913619995,0.4741773009300232,-0.7446800470352173","0.5142136812210083,1.140021800994873,0.04776579141616821","0.39856570959091187,1.0334582328796387,-0.04814699664711952"
-0.5,0.0,"0.4549331068992615,0.40814030170440674,-0.34420543909072876","0.49731358885765076,0.37683555483818054,-0.1094745546579361","0.40931862592697144,0.38397809863090515,-0.20103135704994202","0.3791276812553406,0.5523374080657959,-0.2751760482788086","0.5250760912895203,0.5941218733787537,-0.5654400587081909","0.7155699729919434,0.44124385714530945,-0.7862733006477356","0.5163137912750244,1.149247646331787,0.05835079029202461","0.3977521061897278,1.1175016164779663,-0.05874822288751602"
