az,el,[0],[7],[8],[11],[13],[15],[23],[23]
0.0,0.0,"0.35607975721359253,0.2302367091178894,-0.14151108264923096","0.38896486163139343,0.2063448131084442,0.30411916971206665","0.27256736159324646,0.21875852346420288,0.13315241038799286","0.4370157718658447,0.527832567691803,0.432433545589447","0.5424018502235413,0.6382367610931396,-0.14084471762180328","0.586290717124939,0.4368409514427185,-1.0269290208816528","0.43748679757118225,1.4308663606643677,0.19017687439918518","0.43748679757118225,1.4308663606643677,0.19017687439918518"
0.0,0.0,"0.3586472272872925,0.22549735009670258,-0.1179284080862999","0.3909299373626709,0.1997910588979721,0.3400188684463501","0.2718854546546936,0.21606451272964478,0.11356848478317261","0.43797391653060913,0.5326851010322571,0.4749603271484375","0.5440852642059326,0.6547702550888062,-0.12000330537557602","0.5932239890098572,0.43765097856521606,-1.0163710117340088","0.4367694854736328,1.4312186241149902,0.2072758972644806","0.4367694854736328,1.4312186241149902,0.2072758972644806"
0.0,0.0,"0.3613337576389313,0.22617365419864655,-0.13691169023513794","0.3934681713581085,0.20072506368160248,0.3099561929702759","0.2765294909477234,0.21600112318992615,0.10211912542581558","0.4437946379184723,0.5335631370544434,0.39920514822006226","0.5463749170303345,0.6386079788208008,-0.3539113700389862","0.592562735080719,0.44918712973594666,-1.3112508058547974","0.4330611228942871,1.4342892169952393,0.20658206939697266","0.4330611228942871,1.4342892169952393,0.20658206939697266"
0.0,0.0,"0.35772186517715454,0.2332155406475067,-0.1352177858352661","0.39374977350234985,0.2160702347755432,0.30568116903305054","0.2773663103580475,0.22170870006084442,0.2324347198009491","0.45038270950317383,0.5533356666564941,0.32858771085739136","0.5479903221130371,0.631933331489563,-0.4290125370025635","0.5954825282096863,0.4495047628879547,-1.477762222290039","0.4240058958530426,1.4134992361068726,0.05089762806892395","0.4240058958530426,1.4134992361068726,0.05089762806892395"
0.0,0.0,"0.35502541065216064,0.24578070640563965,-0.15376634895801544","0.39508339762687683,0.23416824638843536,0.24352984130382538","0.28015702962875366,0.2369653731584549,0.17897573113441467","0.4545380473136902,0.5620717406272888,0.19425173103809357","0.5456488132476807,0.6222752332687378,-0.6341999173164368","0.6074585318565369,0.4835749864578247,-1.738559365272522","0.4230087399482727,1.4171333312988281,0.022912506014108658","0.4230087399482727,1.4171333312988281,0.022912506014108658"
0.0,0.0,"0.3548837900161743,0.27182239294052124,-0.24995949864387512","0.3967740833759308,0.2547966539859772,0.11007829755544662","0.28353866934776306,0.2514108121395111,0.046819135546684265","0.45344749093055725,0.5692830681800842,0.1331074833869934","0.5468190908432007,0.6015760898590088,-0.48033326864242554","0.6123946905136108,0.48321422934532166,-1.4136810302734375","0.42258420586586,1.4193333387374878,0.03673429414629936","0.42258420586586,1.4193333387374878,0.03673429414629936"
0.0,0.0,"0.35376235842704773,0.28872817754745483,-0.2918267846107483","0.39614740014076233,0.2618921995162964,0.07912247627973557","0.2822479009628296,0.27028152346611023,-0.009728634729981422","0.45436376333236694,0.5707342624664307,0.08519573509693146","0.5414367318153381,0.5872275233268738,-0.665092945098877","0.5975901484489441,0.48340123891830444,-1.7229652404785156","0.4253997206687927,1.4395546913146973,0.04648724943399429","0.4253997206687927,1.4395546913146973,0.04648724943399429"
0.0,0.0,"0.35277241468429565,0.2934586703777313,-0.278358519077301","0.39484480023384094,0.2641400396823883,0.12187497317790985","0.28161075711250305,0.2773098349571228,0.017913395538926125","0.4549989700317383,0.572582483291626,0.11509382724761963","0.5383061170578003,0.5875944495201111,-0.7038394808769226","0.5844956636428833,0.48475557565689087,-1.80572509765625","0.4253646731376648,1.4430572986602783,0.050803352147340775","0.4253646731376648,1.4430572986602783,0.050803352147340775"
0.0,0.0,"0.35202378034591675,0.3082066476345062,-0.34970277547836304","0.3947209417819977,0.27365079522132874,-0.024314625188708305","0.2810649871826172,0.2903048098087311,-0.0555398166179657","0.4548223614692688,0.5715654492378235,0.0024201562628149986","0.5277742147445679,0.5854333639144897,-0.6047865152359009","0.5763959288597107,0.47764748334884644,-1.5812407732009888","0.4209133982658386,1.4155402183532715,0.003944254945963621","0.4209133982658386,1.4155402183532715,0.003944254945963621"
0.0,0.0,"0.3516663908958435,0.3157544434070587,-0.31097689270973206","0.39360231161117554,0.27950194478034973,0.04707520827651024","0.2828119397163391,0.29576727747917175,-0.05868970602750778","0.4545789361000061,0.5754668712615967,0.07851383090019226","0.524354100227356,0.5800735354423523,-0.6145220994949341","0.5727635622024536,0.46552303433418274,-1.6052147150039673","0.4269949495792389,1.423224687576294,0.026616418734192848","0.4269949495792389,1.423224687576294,0.026616418734192848"
